name,ring,quadrant,isNew,description,CNCF Membership,GITHUB Stars,Category,,,,,
Datadog,Invest,Monitoring,0,Metrics Pipeline for interoperability and Enterprise Prometheus,Silver,,Product Based,1,-,Datadog,,1-Datadog
Dynatrace,Invest,Monitoring,0,"sysdig is a simple tool with deep system visibility for exploration and troubleshooting, with native support for containers.",Silver,,Product Based,2,-,Dynatrace,,2-Dynatrace
Instana,Invest,Monitoring,0,"Elastic builds software to make data usable in real time and at scale for search, logging, security, and analytics use cases.",Silver,,Product Based,3,-,Instana,,3-Instana
New Relic,Master,Monitoring,0,The Prometheus monitoring system and time series database.,Platinum,,Product Based,4,-,New Relic,,4-New Relic
Weave Cloud,Explore,Monitoring,0,"CNCF Jaeger, a Distributed Tracing Platform",Silver,,Product Based,5,-,Weave Cloud,,5-Weave Cloud
Elastic,Master,Logging,0,Software intelligence to help DevSecOps teams across every industry tame cloud complexity and accelerate digital transformation,Silver,58474,Product Based,6,-,Elastic,,6-Elastic
Splunk,Master,Logging,0,"LeanIX Miroservice Intelligence (MI) is a SaaS solution for development teams. It automatically discover metadata from your DevOps toolchain and build a central microservice catalog to increase developer productivity and ensure software reliability. Youâ€™ll always know whatâ€™s running where, who deployed it, and how it supports your business.",Gold,,Product Based,7,-,Splunk,,7-Splunk
AppDynamics,Invest,Monitoring,0,The central source of truth for all IT infrastructure insights. Providing one central platform that uniquely combines technical and financial metrics to manage and optimize modern containerized IT infrastructure stacks successfully.,0,,Product Based,8,-,AppDynamics,,8-AppDynamics
Prometheus,Scale,Monitoring,1,"SOFATracer is a component for the distributed system call trace. And through a unified traceId logging the logs of various network calls in the invoking link. These logs can be used for quick discovery of faults, service governance, etc.",0,41013,OpenSource Based,9,-,Prometheus,,9-Prometheus
Fluentd,Scale,Logging,1,"Grafana allows you to query, visualize, alert on and understand your metrics no matter where they are stored. Create, explore, and share beautiful dashboards with your team and foster a data driven culture.",0,10958,OpenSource Based,10,-,Fluentd,,10-Fluentd
Jaeger,Master,Tracing,1,"Kiali project, observability for the Istio service mesh",0,15159,OpenSource Based,11,-,Jaeger,,11-Jaeger
Thanos,Explore,Monitoring,1,"Loki is a horizontally-scalable, highly-available, multi-tenant log aggregation system inspired by Prometheus. It is designed to be very cost effective and easy to operate. It does not index the contents of the logs, but rather a set of labels for each log stream.",0,9997,OpenSource Based,12,-,Thanos,,12-Thanos
OpenTelemetry,Explore,Tracing,1,"Grafana Tempo is an open source, easy-to-use and high-scale distributed tracing backend. Tempo is cost-efficient, requiring only object storage to operate, and is deeply integrated with Grafana, Prometheus, and Loki. Tempo can be used with any of the open source tracing protocols, including Jaeger, Zipkin, and OpenTelemetry.",0,421,OpenSource Based,13,-,OpenTelemetry,,13-OpenTelemetry
Chaos Mesh,Invest,Chaos Engineering,1,Distributed tracing for spring cloud,0,4462,OpenSource Based,14,-,Chaos Mesh,,14-Chaos Mesh
Beats,Master,Monitoring,1,A toolset for network packet capture in Cloud/Kubernetes and Virtualized environment.,Silver,10759,OpenSource Based,15,-,Beats,,15-Beats
Grafana,Scale,Monitoring,1,"Logstash - transport and process your logs, events, or other data",Platinum,46983,OpenSource Based,16,-,Grafana,,16-Grafana
InfluxData,Explore,Monitoring,1,"EaseAgent is a Javaagent that can be integrated with the mainstream monitoring system, providing standard data formats that are fully compatible with OpenZipkin and Prometheus. EaseAgent is also very easy to extend through the Plugin Mechanism which only a minimum of three interfaces are required to be implemented to complete a plugin development.",Silver,22895,OpenSource Based,17,-,InfluxData,,17-InfluxData
Kiali,Explore,Monitoring,1,A powerful testing tool for Kubernetes clusters.,Platinum,2732,OpenSource Based,18,-,Kiali,,18-Kiali
sysdig,Scale,Monitoring,1,Fluentd: Unified Logging Layer (project under CNCF),Silver,6769,OpenSource Based,19,-,sysdig,,19-sysdig
Weave Scope,Explore,Monitoring,1,"Chronosphere develops a scalable, reliable, and customizable monitoring solution built for cloud-native applications.",Silver,5301,OpenSource Based,20,-,Weave Scope,,20-Weave Scope
Logstash,Master,Logging,1,Enterprise observability platform for modern Dev+Ops cloud-native microservices Application Performance Monitoring,Silver,12669,OpenSource Based,21,-,Logstash,,21-Logstash
Elastic APM,Invest,Tracing,1,Logz.io provides a scalable and intelligent machine data analytics platform built on ELK and Grafana for monitoring modern applications.,Silver,968,OpenSource Based,22,-,Elastic APM,,22-Elastic APM
Spring Cloud Sleuth,Master,Tracing,1,New Relic is a digital intelligence company that delivers full-stack visibility and analytics to enterprises.,Platinum,1559,OpenSource Based,23,-,Spring Cloud Sleuth,,23-Spring Cloud Sleuth
Nagios,Explore,Monitoring,1,"Collect data directly from your live code using non-breaking breakpoints. Debug, observe and understand anything, anytime, anywhere.",0,1068,OpenSource Based,24,-,Nagios,,24-Nagios
Zipkin,Explore,Tracing,1,"From Splunk. It provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",0,15141,OpenSource Based,25,-,Zipkin,,25-Zipkin
Amazon CloudWatch,Scale,Monitoring,0, Beats - Lightweight shippers for Elasticsearch & Logstash,Platinum,,Hyper Scaler Based,26,-,Amazon CloudWatch,,26-Amazon CloudWatch
Application High Availability Service Alibaba,Explore,Monitoring,0,"Scalable datastore for metrics, events, and real-time analytics",Platinum,,Hyper Scaler Based,27,-,Application High Availability Service Alibaba,,27-Application High Availability Service Alibaba
Azure Monitor,Scale,Monitoring,0,"Real-time performance monitoring, done right! https://www.netdata.cloud",Platinum,,Hyper Scaler Based,28,-,Azure Monitor,,28-Azure Monitor
Google Stackdriver,Invest,Monitoring,0,"Monitoring, visualisation & management for Docker & Kubernetes",Platinum,,Hyper Scaler Based,29,-,Google Stackdriver,,29-Google Stackdriver
Alibaba Cloud Log Service,Invest,Logging,0,Datadog offers monitoring and analytics for cloud-based workflows.,Platinum,,Hyper Scaler Based,30,-,Alibaba Cloud Log Service,,30-Alibaba Cloud Log Service
